QuestionID;ResponseID;Domain;Subdomain;Complexity;Bloom;Questiontype;Source;Correctness;Relevance;Clarity;Completeness;Transparency
HGIDSDIAP1;R_8hAvCdWlNqcZkca;human geography;ids;low;apply;indirect;expert answer;5;5;5;4;5
HGIDSDIAP1;R_8hAvCdWlNqcZkca;human geography;ids;low;apply;indirect;chatgpt3.5;5;5;4;3;2
HGIDSABCR1;R_8hAvCdWlNqcZkca;human geography;ids;low;apply;indirect;chatgpt4o;5;5;5;4;4
HGIDSABCR1;R_8hAvCdWlNqcZkca;human geography;ids;high;create;abstract;expert answer;5;5;5;5;5
HGIDSABCR1;R_8hAvCdWlNqcZkca;human geography;ids;high;create;abstract;chatgpt3.5;5;5;5;3;4
HGIDSDIAP1;R_8hAvCdWlNqcZkca;human geography;ids;high;create;abstract;chatgpt4o;5;5;5;4;3
PGGMINRE1;R_2O6uWrlGzYCR8vW;physical geography;geomorphology;low;remember;indirect;expert answer;2;2;1;0;0
PGGMINRE1;R_2O6uWrlGzYCR8vW;physical geography;geomorphology;low;remember;indirect;chatgpt3.5;1;0;3;3;4
PGGMINRE1;R_2O6uWrlGzYCR8vW;physical geography;geomorphology;low;remember;indirect;chatgpt4o;1;0;3;3;4
PGGMABEV1;R_2O6uWrlGzYCR8vW;physical geography;geomorphology;high;evaluate;abstract;expert answer;-99;3;0;2;0
PGGMABEV1;R_2O6uWrlGzYCR8vW;physical geography;geomorphology;high;evaluate;abstract;chatgpt3.5;3;3;2;2;1
PGGMABEV1;R_2O6uWrlGzYCR8vW;physical geography;geomorphology;high;evaluate;abstract;chatgpt4o;4;4;4;4;3
HGEGINUN2;R_2ZCQedQBeYegK3L;human geography;economic geography;low;understand;indirect;expert answer;3;3;2;2;4
HGEGINUN2;R_2ZCQedQBeYegK3L;human geography;economic geography;low;understand;indirect;chatgpt3.5;4;4;3;3;3
HGEGINUN2;R_2ZCQedQBeYegK3L;human geography;economic geography;low;understand;indirect;chatgpt4o;4;4;4;3;3
HGEGABEV1;R_2ZCQedQBeYegK3L;human geography;economic geography;high;evaluate;abstract;expert answer;5;5;5;5;5
HGEGABEV1;R_2ZCQedQBeYegK3L;human geography;economic geography;high;evaluate;abstract;chatgpt3.5;3;3;2;1;1
HGEGABEV1;R_2ZCQedQBeYegK3L;human geography;economic geography;high;evaluate;abstract;chatgpt4o;5;5;4;4;3
HGEGINUN2;R_2AYgAAcC1rYMGGP;human geography;economic geography;low;understand;indirect;expert answer;3;3;4;2;3
